"xpeak" "sigma" "ygamma" "height"
"1" 1361.52505402936 2.32963388626829 2.5 71.7612641768864
"2" 1509.80951918416 2.31798629795622 2.5 68.9636319499098
"3" 611.766159892314 2.30324998522831 2.5 66.6701050023603
"4" 1312.84827122142 2.88069475026737 2.5 63.2475497613295
"5" 773.622783695053 2.46921633099842 2.5 37.2366183018328
"6" 1305.97 2.12330450072005 2.5 33.86961469303
"7" 1503.19 2.12330450072005 2.5 32.4867942320079
"8" 1354.68 2.12330450072005 2.5 29.1882749483462
"9" 1515.8 2.12330450072005 2.5 28.5081686726627
"10" 1183.21011267137 2.35495259494194 2.5 27.2326860011506
"11" 1367.71 2.12330450072005 2.5 25.8402959286164
"12" 401.84 2.12330450072005 2.5 25.3285277475984
"13" 571.177840923615 2.76192801757996 2.5 23.5513067454073
"14" 616.54 2.12330450072005 2.5 21.6438109662816
"15" 1196.5795523039 2.45184730867317 2.5 20.8138594185739
"16" 1648.38873971601 2.21912921604566 2.5 18.2697134949841
"17" 1296.54 2.12330450072005 2.5 16.4863363482734
"18" 780.84 2.12330450072005 2.5 15.5419975572946
